id;tipologia;denominazione;via;civico;latitude;longitude;stelle;categoria;totalePostiLetto;totaleNumeroCamere;numeroSingole;numeroDoppie;numeroTriple;numeroQuadruple;numeroBagni;contattoCellulare;contattoEmail;contattoFacebook;contattoInstagram;contattoTelefono;contattoWebSite;contattoFax;contattoTwitter;accessibileDisabili;accettazioneGruppi;"accettaAnimaliPiccolaTaglia";attivitaSportive;depositoValori;lavanderia;ristorante;tennis;parco;pistaBallo;servizioTelefono;televisione;tennisTavolo;ariaCondizionata;coperturaWifi;piscina;parcheggioCustodito;"venditaAlimentiPropriaProduzione";trasportoClienti;bar;cassettaSicurezza;presaTelefonicaModem;spaccio;campiBocce;campoBeachVolley;campoCalcetto;campoPallavolo;attraccoNatanti;numeroBungalow;numeroDocce;numeroLavadini;numeroPiazzole
187438;"Guest House o Affittacamere";"39 Steps Trevi";"Via dei Crociferi";"26";"41.9008557";"12.4818222";;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310817;"Guest House o Affittacamere";"4 Mori";"Via Collina";"48";"41.908714";"12.497425";;3;9;6;3;3;;;;;"giolu28@gmail.com";;;"0039 06 4745454";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326344;"Guest House o Affittacamere";"4 Spaces";"Piazza della Radio";"40";"41.86960750859728";"12.466713736771231";;3;9;4;;3;1;;;"324 9206993";"ANTONIETTADIROSA38@GMAIL.COM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327069;"Guest House o Affittacamere";"4 Spaces Guest";"Piazza della Radio";"40";"41.86961198939879";"12.466711134426102";;3;9;4;;3;1;;;"324 9206993";"ANTONIETTADIROSA38@GMAIL.COM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315063;"Guest House o Affittacamere";"4 Vatican Rooms";"Circonvallazione Trionfale";"1";"41.909880";"12.448933";;2;5;3;1;2;;;;"0039 333 1841294";"4vaticanrooms@libero.it";;;;"www.4vaticanrooms.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314739;"Guest House o Affittacamere";"415 Central Suite";"Via Quintino Sella";"15";"41.907079";"12.496665";;3;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155599;"Guest House o Affittacamere";"5 Rooms Saint Peter Guesthouse";"Via della Stazione di San Pietro";"34";"41.8967469";"12.455368";;3;6;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155580;"Guest House o Affittacamere";"5 Rooms San Pietro";"Piazza della Stazione di San Pietro";"13";"41.8960537";"12.4555207";;3;4;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165374;"Guest House o Affittacamere";"504 Corso Suites Roma";"Via del Corso";"504";"41.9083236";"12.4772484";;3;;6;;;;;;;"info@504corsosuites.com";"www.facebook.com/504-Corso-Suites-Roma-845713135516562/";;"0039 06 3213905";"http://504corsosuites.com/";;;;;;;;;;;;;;true;;true;true;;;;true;;;;;;;;;;;;;
170525;"Guest House o Affittacamere";"59 steps trevi";"Via dei Crociferi";"26";"41.9008557";"12.4818222";;3;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164476;"Guest House o Affittacamere";"66 Imperial Inn";"Via del Viminale";"66";"41.8997929";"12.4953298";;1;;;;3;2;;;"0039 333 3520294";"info@66imperialinn.com";"www.facebook.com/66ImperialInn.roma";;"0039 06 48907682";"www.66imperialinn.com";"0039 06 48907682";;;;;;;;;;;;;true;;true;true;;;;;;;;;;;;;;;;;
2446;"Guest House o Affittacamere";"69 Manin Street";"Via Daniele Manin";"69";"41.8989341";"12.4990984";;2;10;5;;;;;;;"info@69maninstreet.com";;;"0039 06 48987856";"www.69maninstreet.com";"0039 06 48907904";;;;;;;;;;;;true;true;;true;;;;;;;;;;;;;;;;;;
182373;"Guest House o Affittacamere";"7 Rooms Guest house o affittacamere";"Via Silvio Pellico";"16";"41.9125097";"12.4604356";;3;17;6;;;;;;"0039 388 9258765";;;;;"sevenroomsroma@gmail.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116892;"Guest House o Affittacamere";"74 Crescenzio House";"Via Crescenzio";"74";"41.9059719";"12.4619086";;3;6;4;;;;;;"334 2817170";"info@bebrome.com";;;;"www.bebrome.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178138;"Guest House o Affittacamere";"77 Pinky Pillows";"Via Padova";"77";"41.9107082";"12.5206509";;3;6;3;;;;;;"0039 349 3452172";"77pinkypillows@gmail.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172373;"Guest House o Affittacamere";"'900 a piazza del popolo";"Piazzale Flaminio";"9";"41.9120263";"12.4753495";;;12;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155716;"Guest House o Affittacamere";"900 Liberty Guest House";"Corso Vittorio Emanuele II";"294";"41.8990705";"12.4669437";;2;8;;1;2;1;;;"0039 377 975 6166";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170526;"Guest House o Affittacamere";"94 Rooms Vatican - Vigliena";"Via Vigliena";"10";"41.91226";"12.46772";;3;;;;;;;;;;;;;"www.94roomsvatican.com/rooms/vigliena-10/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52967;"Guest House o Affittacamere";"A 100 metri dal Vaticano";"Viale Giulio Cesare";"151";"41.9089726";"12.4583252";;3;10;4;;;;;;;;;;"0039 06 6874956";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76180;"Guest House o Affittacamere";"A Beautiful Place in Rome";"Via Vicenza";"20";"41.9029069";"12.5025350";;3;4;1;;;;;;"0039 338 6412262";"info@beautifulplaceinrome.com";;;;"http://beautifulplaceinrome.com";;;;;;;;;;;;;;true;;true;true;;;;;;;;;;;;;;;;;
15667;"Guest House o Affittacamere";"A&C Much More";"Via Palestro";"49";"41.9048958";"12.5042485";;3;12;6;;;;;;"0039 393 286234340";;;;"0039 06 44701152";"www.aecmuchmore.hostel.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168845;"Guest House o Affittacamere";"A casa Boschi";"Via Premuda";"3";"41.9137838";"12.4521233";;;7;3;;;;;;"0039 328 711 0461";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52969;"Guest House o Affittacamere";"A casa Carra";"Via dello Statuto";"44";"41.8948857";"12.5013275";;2;4;3;;;;;;;"acasacarra@fastwebnet.it";;;"0039 06 4745871 - 845";"www.acasacarra.com";"0039 06 4745871";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326582;"Guest House o Affittacamere";"A Casa di Ale";"Via dei Monti di Pietralata";"77";"41.91106233410751";"12.535111395832182";;2;2;1;;1;;;;"328 1340508";"ALEXMALQUORI99@GMAIL.COM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312810;"Guest House o Affittacamere";"A casa di Bea & Sara";"Via Principe Amedeo";"85";"41.898159";"12.501024";;3;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174443;"Guest House o Affittacamere";"A casa di Benny";"Piazza Augusto Albini";"20";"41.8645122";"12.4845138";;;5;3;;;;;;"0039 333 592 0597";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52972;"Guest House o Affittacamere";"A casa di Getta";"Via Reggio Emilia";"29";"41.9117402";"12.5034473";;2;8;4;;;;;;;;;;"0039 06 8548797";;;;;;;;;;;;;;;true;;true;true;;true;;true;;;;;;;;;;;;;
177751;"Guest House o Affittacamere";"A casa di Giallo";"Via Gela";"67";"41.8788976";"12.5205755";;3;9;3;;;;;;"0039 340 9334577";"acasadigiallo@gmail.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155519;"Guest House o Affittacamere";"A casa di Gio affittacamere";"Via Lorenzo Il Magnifico";"86";"41.91243";"12.52422";;3;8;;;4;;;;"0039 339 218 2488";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52973;"Guest House o Affittacamere";"A casa di Giorgia";"Corso Trieste";"62";"41.9197935";"12.5084705";;2;12;6;;;;;;;"gettat@yahoo.it";;;"0039 06 8548797";"www.bbacasadigiorgia.it";"0039 06 8548797";;;;;;;;;;;;;true;;true;true;;true;;;;;;;;;;;;;;;
135369;"Guest House o Affittacamere";"A casa di Manù";"Via Giuseppe Dalla Vedova";"1a";"41.8863284";"12.54308";;3;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116960;"Guest House o Affittacamere";"A casa di Penelope";"Via Varese";"5";"41.9033911";"12.5046968";;3;11;5;;;;;;"0039 929 7004444";"acasadipenelopehotel@gmail.com";;;"0039 0644362944";"www.acasadipenelope.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52978;"Guest House o Affittacamere";"A casa di Sonia";"Via del Viminale";"58";"41.9000419";"12.4954864";;2;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117396;"Guest House o Affittacamere";"A Casa di Stefano";"Via Firenze";"43";"41.9029512";"12.4934855";;3;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117351;"Guest House o Affittacamere";"A Casa di Velasco";"Via Varese";"5";"41.903415";"12.5045081";;3;6;;;3;;;;;;;;;;;;;;;;;;;;;;;true;;true;;;;;;;;;;;;;;;;;;
165239;"Guest House o Affittacamere";"A casa Rosy";"Via Arezzo";"30";"41.911714";"12.5187353";;3;4;;;2;;;;;;;;"0039 06 4424 0636";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15668;"Guest House o Affittacamere";"A.D.";"Viale Opita Oppio";"76";"41.8608787";"12.5500458";;2;12;6;;;;;;;;;;"0039 978459 99 - 06 76983140";"www.cityguesthouse.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318117;"Guest House o Affittacamere";"A.D. Suites Tritone";"Via del Tritone";"94";"41.903336975498206";"12.486610038166857";;2;12;6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310958;"Guest House o Affittacamere";"A Due Passi Dai Musei";"Via Francesco Caracciolo";"30";"41.908657";"12.452164";;3;6;3;;3;;;;"0039 338 6409660";"faberj10@hotmail.it";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52979;"Guest House o Affittacamere";"A Ottaviano Vatican";"Via Ottaviano";"73";"41.9082230";"12.4578911";;2;6;5;;;;;;"0039 347 3457117";"tdsvatican@fastwebnet.it";;;"0039 06 96038660";"www.ottavianovatican.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76183;"Guest House o Affittacamere";"A Peace of Rome";"Via Fabio Massimo";"60";"41.9089508";"12.4621467";;2;13;6;;;;;;"0039 345 6022600";"info@bbapeaceofrome.it";;;"0039 06 3235955";"www.bbapeaceofrome.it";"0039 06 45227255";;;;;;;;;;;;;;;true;true;;;;;;;;;;;;;;;;;
165042;"Guest House o Affittacamere";"A relaxion room";"Via Cairoli";"101";"41.8942703";"12.5078847";;3;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52980;"Guest House o Affittacamere";"A Roma San Pietro Best Bed";"Via Crescenzio";"85";"41.9058788";"12.4614635";;2;15;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140460;"Guest House o Affittacamere";"A Star Inn";"Via delle Quattro Fontane";"15";"41.9024231";"12.4900973";;3;12;;1;4;1;;;"0039 335 6538960 - 348 7456759";"astarinn@gmail.com";;;"0039 06 64824130";"www.astarinn.com";;;;;;;;;;;;;;;;true;;;;;;;;;;;;;;;;;;
53058;"Guest House o Affittacamere";"A t";"Piazza Barberini";"2";"41.9035170";"12.4880591";;2;7;4;;;;;;;;;;"0039 06 4661058";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117382;"Guest House o Affittacamere";"A Trastevere da me";"Piazza Sidney Sonnino";"25";"41.8889652";"12.4743152";;3;8;;;4;;;;;"info@atrasteveredame.it";;;"0039 06 45429647";"www.atrasteveredame.it";;;;;;;;;;;;;;true;;true;true;;;;true;;;;;;;;;;;;;
49106;"Guest House o Affittacamere";"A View of Rome";"Piazza Del Risorgimento";"14 ";"41.9066542";"12.457103";;;11;6;;;;;;"0039 345 6022600";"info@bbaviewofrome.it";;;"0039 06 39737845";"www.bbaviewofrome.it";"0039 06 96708720";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52982;"Guest House o Affittacamere";"A Vinicius et Mita";"Via Pistoia";"21";"41.8841550";"12.5193369";;3;12;6;;;;;;"0039 320 1848591 - 347 1106411 - 349 4169808";"mitaevinicio@gmail.com";;;;"www.alvillino.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249918;"Guest House o Affittacamere";"A World Aparts 68 Barberini";"Via Barberini";"68";"41.9046097";"12.4923976";;2;11;5;;;;;;"3926147039";"sassonbernard@gmail.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260955;"Guest House o Affittacamere";"A World Aparts 68 Barberini";"Via Barberini";"68";"41.904638";"12.492392";;2;11;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76185;"Guest House o Affittacamere";"Ab House";"Via Solferino";"9";"41.9036147";"12.5013738";;2;13;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168846;"Guest House o Affittacamere";"ABC Guest House";"Via Famagosta";"4";"41.9102035";"12.4573623";;;9;5;;;;;;"0039 349 93 25 657";"abcfamagosta@gmail.com";;;;"www.abcbb.it";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177486;"Guest House o Affittacamere";"Acanto Room Deluxe guest house o affittacamere";"Via Marco Valerio Corvo";"137";"41.8562778";"12.5607402";;3;;;;;;;;"0039 349 3710146";"acanto.roma@hotmail.it";;;"0039 06 87789330";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158484;"Guest House o Affittacamere";"Acchiappasogni Guest House";"Via Michele di Lando";"35";"41.9140543";"12.5241201";;3;;;1;2;;;;"0039 389 796 8867";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165257;"Guest House o Affittacamere";"Accomodation Rooms";"Via degli Scipioni";"239";"41.9103958";"12.4654505";;2;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155871;"Guest House o Affittacamere";"AD 2015";"Via Bastioni di Michelangelo";"5";"41.9064023";"12.4563646";;2;;4;;;;;;;;"www.facebook.com/ad2015guesthouse/";;"0039 06 8893 6424";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164482;"Guest House o Affittacamere";"Ad hoc domus";"Via Emanuele Filiberto";"233";"41.8890109";"12.5072276";;3;;;1;3;1;;;;;;;"0039 06 4550 2246";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304342;"Guest House o Affittacamere";"AD Trastevere Guest house o Affittacamere";"Viale di Trastevere";"118";"41.882492";"12.468258";;3;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312799;"Guest House o Affittacamere";"Ada Home";"Via Montevideo";"2A";"41.921917";"12.496596";;3;16;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117230;"Guest House o Affittacamere";"Ada Rooms";"Via Cola di Rienzo";"163";"41.9078744";"12.4646579";;3;6;;;3;;;;;"infobb@zanetty.it";;;;"www.adaroomsbb.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330557;"Guest House o Affittacamere";"Adelaide Suites";"Via Maria Adelaide";"12";"41.91078748472447";"12.474189869293658";;3;12;5;;3;2;;;;"fabiodicastro7@gmail.com";;;"06 3218382";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155593;"Guest House o Affittacamere";"Adelina Guesthouse";"Piazza di Porta Maggiore";"20";"41.8915148";"12.5138438";;2;9;;1;4;;;;"0039 338 984 7330";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52984;"Guest House o Affittacamere";"Adora suites";"Via Filippo Turati";"28";"41.8988874";"12.5015373";;3;9;5;;;;;;"0039 327 0650044";"info@adorasuite.com";;;;"www.adorasuite.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329785;"Guest House o Affittacamere";"Adventor Eco Suites ";"Via Castelfidardo";"51";"41.90549544201429";"12.502048574016541";;2;12;5;;4;;;;;"ADVENTORECOSUITES@GMAIL.COM";;;"06 92949071";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2497;"Guest House o Affittacamere";Aelius;"Via Volturno";"7";"41.9049600";"12.4990579";;2;11;6;;;;;;;"info@roma-inn.com";;;"0039 06 48907251";"www.roma-inn.com";"0039 06 48907251";;;;;;;;;;;;true;true;;true;;;;;;;true;;;;;;;;;;;
15671;"Guest House o Affittacamere";"Aenea Inn";"Via Urbana";"156";"41.8988950";"12.4964321";;1;12;6;;;;;;"0039 348 4067222";"aenea_rome@yahoo.com";;;;"www.aeneainnrome.com";"0039 06 48916434";;;;;;;;;;;;true;;;true;;;;;;;true;;;;;;;;;;;
76189;"Guest House o Affittacamere";Aesse;"Via del Porto Fluviale";"35";"41.8723131";"12.4768429";;3;11;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155552;"Guest House o Affittacamere";Aeterno;"Via Appia Nuova";"165";"41.8810374";"12.5154153";;3;7;;17;3;;;;;;;;"0039 06 93562244";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2484;"Guest House o Affittacamere";"Affitta camere Les Artes";"Via Milazzo";"23";"41.9024330";"12.5050544";;3;5;4;;;;;;;"lesartes@hotmail.com";;;"0039 06 44361531";;;;;;;;;;;;;;;true;;true;;;;;;;;;;;;;;;;;;
76428;"Guest House o Affittacamere";"Affittacamere ""Aries""";"Via XX Settembre";"58/A";"41.9075085";"12.4985290";;2;12;6;;;;;;;"info@affittacamerearies.com";;;"0039 06 42027161";"www.affittacamerearies.com";"0039 06 42014809";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155506;"Guest House o Affittacamere";"Affittacamere Belli 36Rooms";"Via Giuseppe Gioacchino Belli";"36";"41.9074396";"12.4715853";;1;;5;;;;;;"0039 339 379 2667";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165378;"Guest House o Affittacamere";"Affittacamere Campus Trigoria S.R.L.";"Via Italo Torsiello";"18";"41.7688084";"12.4771796";;2;6;;4;2;;;;"0039 393 9430233";"info@affittacamerecampus.it";"www.facebook.com/Affittacamere-Campus-Trigoria-392242980933920/";;"0039 06 5062155";"http://www.affittacamerecampus.it/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117390;"Guest House o Affittacamere";"Affittacamere Cappellini";"Via Alfredo Cappellini";"29";"41.8972393";"12.5046872";;3;8;;;4;;;;;;;;"0039 06 4436 2697";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2376;"Guest House o Affittacamere";"Affittacamere Casa Howard";"Via di Capo Le Case";"18";"41.9038606";"12.4845625";;1;8;5;;;;;;;;;;"0039 06 69924555";"www.casahoward.com";"0039 06 6794644";;;;;;;true;;;;;;true;;true;;;;;;;;;;;;;;;;;;
134815;"Guest House o Affittacamere";"Affittacamere Casa Smeraldo Rooms";"Via Crescenzio";"43";"41.9056073";"12.4640623";;3;8;;1;2;;;;"0039 334 2507096";;;;;"www.casasmeraldo.com";;;;;;;;;;;;;;true;;;true;;;;true;;;;;;;;;;;;;
176526;"Guest House o Affittacamere";"Affittacamere Celimontana 28/4";"Via Celimontana";"28";"41.8881419";"12.4965444";;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176527;"Guest House o Affittacamere";"Affittacamere Celimontana 28/5";"Via Celimontana";"28";"41.8881419";"12.4965444";;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165384;"Guest House o Affittacamere";"Affittacamere Centro Cavour";"Via Cavour";"233";"41.8943973";"12.4916241";;3;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155673;"Guest House o Affittacamere";"Affittacamere Clodia Suite";"Circonvallazione Clodia";"36";"41.9151603";"12.4530869";;3;5;1;;;;;;"0039 366 328 5495";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165290;"Guest House o Affittacamere";"Affittacamere Dhali Roma di Dhali Milon";"Via Filippo Turati";"23";"41.8989097";"12.5016544";;3;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117009;"Guest House o Affittacamere";"Affittacamere Eur Arcobaleno";"Viale dell'Aeronautica";"60";"41.825958";"12.4769274";;3;7;4;;;;;;"0039 329 5819164";"info@eurarcobaleno.it";;;"0039 06 81904022";"http://eurarcobaleno.altervista.org/wordpress/?lang=it";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53228;"Guest House o Affittacamere";"Affittacamere Flann O'Brien rooms";"Via Napoli";"29/B";"41.9008542";"12.4941397";;2;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52985;"Guest House o Affittacamere";"Affittacamere Flavia";"Via Salvatore Gasbarra";"32";"41.7758784";"12.3357831";;3;11;5;;;;;;;;;;"0039 06 5231033";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53246;"Guest House o Affittacamere";"Affittacamere Glatimia";"Via Caio Mario";"14/a";"41.9093300";"12.4605037";;2;6;3;;;;;;"0039 333 5005511";"glatimia@libero.it";"https://m.facebook.com/glatimia.affittacamere";;"0039 06 32650162";"www.affittacamereglatimia.it";;;;;;;;;;;;;;true;;true;true;;;;;;;;;;;;;;;;;
139958;"Guest House o Affittacamere";"Affittacamere Gusté Fregene";"Via Fregene";"67";"41.8814767";"12.5094049";;3;7;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172354;"Guest House o Affittacamere";"Affittacamere Hotel Euro Roma";"Via Principe Amedeo";"331";"41.8943632";"12.5075869";;3;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138945;"Guest House o Affittacamere";"Affittacamere I sette re";"Via Ardea";"14";"41.8828852";"12.5103301";;3;10;;2;4;;;;;;;;;"www.bbisettere.it";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128482;"Guest House o Affittacamere";"Affittacamere Jiwon";"Via Filippo Turati";"76";"41.8975318";"12.5038247";;3;6;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117235;"Guest House o Affittacamere";"Affittacamere La Fontana del Mosé";"Via XX Settembre";"98-99";"41.903966";"12.4936384";;2;13;6;;;;;;;;;;;"www.mosesfountain.com/index2.php";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155625;"Guest House o Affittacamere";"Affittacamere navona central suites";"Via della Scrofa";"22";"41.902181";"12.4751255";;3;;;1;1;2;;;"0039 349 547 7709";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177487;"Guest House o Affittacamere";"Affittacamere Next Stop Roma Casilino";"Via Francesco Laparelli";"73";"41.8791706";"12.5396542";;3;6;3;;;;;;"0039 328 8058515";"alan.fantetti@intotherevenue.com";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
